need_id,request_date,category,item_description,quantity,urgency,family_id,city,state,zip_code,status,matched_date,fulfilled_date,assigned_donor_id,assigned_church_id,notes
N00435,2024-11-08,Transportation,gas card,1,Low,F0128,Birmingham,AL,35205,Matched,2024-11-09,,D0017,C027,Urgent need for family in crisis
N00436,2024-08-06,School Supplies,backpack,1,Medium,F0083,Charlotte,NC,28202,In Progress,2024-08-08,,D0103,C011,Urgent need for family in crisis
N00437,2024-03-02,Clothing,school clothes,6,High,F0142,Atlanta,GA,30302,In Progress,2024-03-02,,D0107,C006,
N00438,2024-11-19,Housing,mattress,4,Low,F0002,Atlanta,GA,30301,Closed,2024-11-20,2024-11-24,D0041,C001,
N00439,2024-12-21,Food,food pantry items,6,High,F0134,Birmingham,AL,35204,Fulfilled,2024-12-22,2024-12-23,D0033,C007,
N00440,2024-09-12,Clothing,winter coat,1,Medium,F0050,Charlotte,NC,28201,Closed,2024-09-12,2024-09-14,D0078,C012,Urgent need for family in crisis
N00441,2024-08-25,Food,food pantry items,6,Medium,F0071,Charlotte,NC,28201,Cancelled,,,,,
N00442,2024-03-31,Clothing,baby clothes,6,High,F0073,Birmingham,AL,35202,Matched,2024-04-01,,D0012,C002,
N00443,2024-01-23,Childcare,stroller,6,Low,F0138,Birmingham,AL,35202,Requested,,,,,
N00444,2024-02-06,Housing,furniture,5,High,F0108,Atlanta,GA,30302,Matched,2024-02-07,,D0114,C019,Urgent need for family in crisis
N00445,2024-06-15,Childcare,wipes,4,Medium,F0097,Atlanta,GA,30302,Matched,2024-06-15,,D0061,C024,
N00446,2024-03-15,Medical,prescription assistance,4,High,F0035,Birmingham,AL,35204,Matched,2024-03-16,,D0117,C006,Urgent need for family in crisis
N00447,2024-06-20,Childcare,car seat,3,Medium,F0029,Charlotte,NC,28204,Matched,2024-06-20,,D0146,C002,
N00448,2024-05-31,Clothing,school clothes,2,Low,F0106,Charlotte,NC,28205,Closed,2024-05-31,2024-06-03,D0044,C019,
N00449,2024-08-24,School Supplies,school uniforms,2,Medium,F0084,Birmingham,AL,35204,In Progress,2024-08-24,,D0110,C024,
N00450,2024-01-23,Clothing,winter coat,4,Low,F0109,Birmingham,AL,35205,Requested,,,,,
N00451,2024-05-03,Food,baby formula,5,Low,F0178,Birmingham,AL,35204,Requested,,,,,Urgent need for family in crisis
N00452,2024-05-02,Clothing,school clothes,1,Low,F0123,Nashville,TN,37203,Cancelled,,,,,
N00453,2024-08-20,Medical,first aid,3,Critical,F0181,Atlanta,GA,30301,Fulfilled,2024-08-20,2024-08-24,D0104,C006,Urgent need for family in crisis
N00454,2024-09-28,Food,baby formula,3,Critical,F0193,Nashville,TN,37203,Requested,,,,,
N00455,2024-01-29,School Supplies,backpack,1,Critical,F0094,Nashville,TN,37204,Closed,2024-01-30,2024-01-31,D0094,C029,
N00456,2024-11-27,Childcare,car seat,2,Medium,F0086,Charlotte,NC,28202,Closed,2024-11-28,2024-12-02,D0018,C018,
N00457,2024-04-25,Medical,first aid,6,Critical,F0071,Charlotte,NC,28201,In Progress,2024-04-25,,D0069,C017,
N00458,2024-09-13,Childcare,crib,6,High,F0116,Birmingham,AL,35205,Closed,2024-09-13,2024-09-16,D0121,C023,
N00459,2024-02-14,Food,meal,4,Medium,F0074,Birmingham,AL,35201,Requested,,,,,
N00460,2024-09-11,Transportation,gas card,1,High,F0107,Charlotte,NC,28205,Matched,2024-09-11,,D0134,C021,Urgent need for family in crisis
N00461,2024-08-15,Medical,medical supplies,6,Low,F0075,Birmingham,AL,35202,Cancelled,,,,,
N00462,2024-07-29,School Supplies,school uniforms,6,Critical,F0118,Nashville,TN,37203,Closed,2024-07-29,2024-08-02,D0084,C016,
N00463,2024-04-26,Transportation,bus pass,1,Medium,F0091,Nashville,TN,37203,Fulfilled,2024-04-27,2024-05-01,D0074,C025,
N00464,2024-04-03,Clothing,shoes,2,Low,F0011,Nashville,TN,37203,Matched,2024-04-04,,D0040,C006,
N00465,2024-04-04,Medical,medical supplies,3,High,F0038,Nashville,TN,37203,Matched,2024-04-05,,D0009,C022,
N00466,2024-01-13,Clothing,school clothes,3,Medium,F0002,Atlanta,GA,30305,Fulfilled,2024-01-14,2024-01-19,D0038,C015,Urgent need for family in crisis
N00467,2024-05-28,Childcare,car seat,6,Critical,F0087,Birmingham,AL,35201,Closed,2024-05-29,2024-06-01,D0038,C026,Urgent need for family in crisis
N00468,2024-06-06,Housing,mattress,4,Medium,F0115,Atlanta,GA,30303,Requested,,,,,
N00469,2024-10-25,Housing,rent assistance,1,Critical,F0174,Charlotte,NC,28201,Closed,2024-10-25,2024-10-25,D0072,C007,Urgent need for family in crisis
N00470,2024-06-11,Utilities,electric bill,6,High,F0102,Birmingham,AL,35202,Closed,2024-06-12,2024-06-17,D0131,C002,Urgent need for family in crisis
N00471,2024-07-09,Utilities,water bill,3,High,F0090,Birmingham,AL,35203,Requested,,,,,Urgent need for family in crisis
N00472,2024-07-31,Food,meal,4,Critical,F0036,Birmingham,AL,35205,Fulfilled,2024-07-31,2024-08-04,D0042,C026,
N00473,2024-08-31,Clothing,shoes,4,Low,F0002,Nashville,TN,37204,Closed,2024-08-31,2024-09-04,D0017,C030,
N00474,2024-10-11,Transportation,uber/lyft credit,2,Medium,F0048,Charlotte,NC,28204,Fulfilled,2024-10-12,2024-10-17,D0146,C025,
N00475,2024-10-26,Medical,prescription assistance,4,Medium,F0007,Nashville,TN,37201,In Progress,2024-10-27,,D0144,C024,
N00476,2024-11-30,Transportation,uber/lyft credit,3,Critical,F0046,Atlanta,GA,30304,Cancelled,,,,,Urgent need for family in crisis
N00477,2024-05-21,School Supplies,backpack,5,Critical,F0067,Atlanta,GA,30304,Fulfilled,2024-05-21,2024-05-23,D0093,C019,Urgent need for family in crisis
N00478,2024-05-12,Food,food pantry items,3,Critical,F0178,Atlanta,GA,30302,Matched,2024-05-13,,D0015,C005,
N00479,2024-08-02,Housing,bedding,3,Low,F0075,Nashville,TN,37203,Cancelled,,,,,
N00480,2024-02-18,Food,meal,3,High,F0070,Charlotte,NC,28203,Closed,2024-02-18,2024-02-23,D0140,C011,
N00481,2024-03-11,Childcare,wipes,4,High,F0042,Atlanta,GA,30301,Closed,2024-03-11,2024-03-14,D0096,C025,
N00482,2024-08-01,School Supplies,notebooks,1,Critical,F0090,Atlanta,GA,30303,Fulfilled,2024-08-01,2024-08-01,D0030,C027,
N00483,2024-03-29,Clothing,baby clothes,3,Low,F0191,Nashville,TN,37201,Cancelled,,,,,
N00484,2024-03-05,Clothing,shoes,6,Low,F0020,Nashville,TN,37201,Matched,2024-03-05,,D0021,C014,Urgent need for family in crisis
N00485,2024-02-25,Utilities,electric bill,6,Low,F0121,Charlotte,NC,28201,Requested,,,,,Urgent need for family in crisis
N00486,2024-12-07,Housing,bed,1,Low,F0155,Nashville,TN,37202,Requested,,,,,
N00487,2024-01-15,School Supplies,notebooks,2,High,F0149,Nashville,TN,37203,Requested,,,,,
N00488,2024-02-20,School Supplies,school uniforms,2,High,F0044,Atlanta,GA,30305,Closed,2024-02-20,2024-02-23,D0136,C007,
N00489,2024-07-06,Food,meal,5,Medium,F0113,Birmingham,AL,35201,Cancelled,,,,,
N00490,2024-04-19,Childcare,crib,3,Low,F0120,Birmingham,AL,35201,Closed,2024-04-19,2024-04-23,D0105,C004,
N00491,2024-10-12,Medical,medical supplies,1,Low,F0084,Nashville,TN,37204,Cancelled,,,,,
N00492,2024-12-17,Transportation,uber/lyft credit,4,Medium,F0018,Nashville,TN,37204,Fulfilled,2024-12-17,2024-12-19,D0142,C014,Urgent need for family in crisis
N00493,2024-12-11,Childcare,wipes,5,Low,F0031,Atlanta,GA,30302,Fulfilled,2024-12-12,2024-12-15,D0027,C013,
N00494,2024-07-05,Food,meal,4,Low,F0060,Atlanta,GA,30304,Matched,2024-07-05,,D0052,C020,Urgent need for family in crisis
N00495,2024-07-01,Transportation,car repair,3,Medium,F0197,Birmingham,AL,35204,Fulfilled,2024-07-02,2024-07-05,D0104,C016,
N00496,2024-04-28,Transportation,uber/lyft credit,2,Low,F0026,Birmingham,AL,35201,Cancelled,,,,,Urgent need for family in crisis
N00497,2024-04-01,Medical,first aid,5,Low,F0195,Atlanta,GA,30301,Fulfilled,2024-04-02,2024-04-04,D0084,C005,
N00498,2024-05-30,Medical,medical supplies,4,Critical,F0130,Charlotte,NC,28203,Cancelled,,,,,
N00499,2024-03-01,Housing,bed,4,Critical,F0010,Birmingham,AL,35201,Fulfilled,2024-03-02,2024-03-04,D0081,C028,
N00500,2024-08-08,Transportation,bus pass,1,Critical,F0169,Birmingham,AL,35205,Matched,2024-08-08,,D0100,C016,
